Movie Names,Ratings
1.      Jai Bhim(2021),7.6
2.      Anbe Sivam(2003),7.6
3.      Golmaal(1979),7.6
4.      Nayakan(1987),7.6
5.      Pariyerum Perumal(2018),7.6
6.      3 Idiots(2009),7.6
7.      Apur Sansar(1959),7.6
8.      Manichitrathazhu(1993),7.6
9.      Kumbalangi Nights(2019),7.6
10.      Black Friday(2004),7.6
11.      Taare Zameen Par(2007),7.6
12.      C/o Kancharapalem(2018),7.6
13.      Vikram(2022),7.6
14.      #Home(2021),7.6
15.      Soorarai Pottru(2020),7.6
16.      Dangal(2016),7.6
17.      Kireedam(1989),7.6
18.      Kaithi(2019),7.6
19.      Jersey(2019),7.6
20.      Thevar Magan(1992),7.6
21.      Pather Panchali(1955),7.6
22.      Asuran(2019),7.6
23.      96(2018),7.6
24.      Visaaranai(2015),7.6
25.      Thalapathi(1991),7.6
26.      Natsamrat(2016),7.6
27.      Sarpatta Parambarai(2021),7.6
28.      Drishyam 2(2021),7.6
29.      Sardar Udham(2021),7.6
30.      Thani Oruvan(2015),7.6
31.      Aparajito(1956),7.6
32.      Vada Chennai(2018),7.6
33.      Jaane Bhi Do Yaaro(1983),7.6
34.      Khosla Ka Ghosla!(2006),7.6
35.      Drishyam(2013),7.6
36.      Chupke Chupke(1975),7.6
37.      Peranbu(2018),7.6
38.      Agent Sai Srinivasa Athreya(2019),7.6
39.      Anniyan(2005),7.6
40.      Mahanati(2018),7.6
41.      Super Deluxe(2019),7.6
42.      Satya(1998),7.6
43.      Bangalore Days(2014),7.6
44.      Ratsasan(2018),7.6
45.      Premam(2015),7.6
46.      Devasuram(1993),7.6
47.      Bhaag Milkha Bhaag(2013),7.6
48.      Gangs of Wasseypur(2012),7.6
49.      Aruvi(2016),7.6
50.      Andhadhun(2018),7.6
51.      Drishyam(2015),7.6
52.      Kannathil Muthamittal(2002),7.6
53.      Guide(1965),7.6
54.      Shahid(2012),7.6
55.      Chithram(1988),7.6
56.      Iruvar(1997),7.6
57.      Sairat(2016),7.6
58.      Zindagi Na Milegi Dobara(2011),7.6
59.      Paan Singh Tomar(2012),7.6
60.      Vikram Vedha(2017),7.6
61.      Tumbbad(2018),7.6
62.      Mudhalvan(1999),7.6
63.      Dhuruvangal Pathinaaru(2016),7.6
64.      Black(2005),7.6
65.      Chhichhore(2019),7.6
66.      Spadikam(1995),7.6
67.      Chak De! India(2007),7.6
"68.      Swades: We, the People(2004)",7.6
69.      Jo Jeeta Wohi Sikandar(1992),7.6
70.      Pudhu Pettai(2006),7.6
71.      Papanasam(2015),7.6
72.      Pyaasa(1957),7.6
73.      Soodhu Kavvum(2013),7.6
74.      Article 15(2019),7.6
75.      PK(2014),7.6
76.      Munna Bhai M.B.B.S.(2003),7.6
77.      Mandela(2021),7.6
78.      Queen(2013),7.6
79.      Talvar(2015),7.6
80.      Uri: The Surgical Strike(2019),7.6
81.      Kaakkaa Muttai(2014),7.6
82.      OMG: Oh My God!(2012),7.6
83.      Lagaan: Once Upon a Time in India(2001),7.6
84.      Jigarthanda(2014),7.6
85.      Sarfarosh(1999),7.6
86.      Udaan(2010),7.6
87.      Barfi!(2012),7.6
88.      Theeran Adhigaaram Ondru(2017),7.6
89.      Sholay(1975),7.6
90.      Ustad Hotel(2012),7.6
91.      Hera Pheri(2000),7.6
92.      The Legend of Bhagat Singh(2002),7.6
93.      Angoor(1982),7.6
94.      Rang De Basanti(2006),7.6
95.      Baasha(1995),7.6
96.      Masaan(2015),7.6
97.      Kahaani(2012),7.6
98.      Baahubali 2: The Conclusion(2017),7.6
99.      Dil Chahta Hai(2001),7.6
100.      Maheshinte Prathikaaram(2016),7.6
101.      Roja(1992),7.6
102.      K.G.F: Chapter 2(2022),7.6
103.      A Wednesday(2008),7.6
104.      Pink(2016),7.6
105.      Nil Battey Sannata(2015),7.6
106.      Iqbal(2005),7.6
107.      Virumandi(2004),7.6
108.      Lage Raho Munna Bhai(2006),7.6
109.      Kaun Pravin Tambe?(2022),7.6
110.      Pithamagan(2003),7.6
111.      Shershaah(2021),7.6
112.      Charulata(1964),7.6
113.      Anand(1971),7.6
114.      777 Charlie(2022),7.6
115.      Section 375(2019),7.6
116.      Alai Payuthey(2000),7.6
117.      Omkara(2006),7.6
118.      Bajrangi Bhaijaan(2015),7.6
119.      Bombay(1995),7.6
120.      Lucia(2013),7.6
121.      Oru Vadakkan Veeragatha(1989),7.6
122.      Bommarillu(2006),7.6
123.      K.G.F: Chapter 1(2018),7.6
124.      The Great Indian Kitchen(2021),7.6
125.      Indian(1996),7.6
126.      Haider(2014),7.6
127.      Rangasthalam(2018),7.6
128.      Dilwale Dulhania Le Jayenge(1995),7.6
129.      Mughal-E-Azam(1960),7.6
130.      Jana Gana Mana(2022),7.6
131.      Special Chabbis(2013),7.6
132.      Maqbool(2003),7.6
133.      Athadu(2005),7.6
134.      Andaz Apna Apna(1994),7.6
135.      Thadam(2019),7.6
136.      Maanaadu(2021),7.6
137.      Padayappa(1999),7.6
138.      Gulaal(2009),7.6
139.      Pelli Choopulu(2016),7.6
140.      Vaaranam Aayiram(2008),7.6
141.      Android Kunjappan Version 5.25(2019),7.6
142.      Gully Boy(2019),7.6
143.      Naduvula Konjam Pakkatha Kaanom(2012),7.6
144.      Ugly(2013),7.6
145.      Badhaai ho(2018),7.6
146.      Deewaar(1975),7.6
147.      Vaastav: The Reality(1999),7.6
148.      Company(2002),7.6
149.      Kshanam(2016),7.6
150.      Evaru(2019),7.6
151.      Padosan(1968),7.6
152.      Ulidavaru Kandanthe(2014),7.6
153.      Aadukalam(2011),7.6
154.      Maanagaram(2017),7.6
155.      Dev.D(2009),7.6
156.      Nayattu(2021),7.6
157.      Thondimuthalum Dhriksakshiyum(2017),7.6
158.      My Name Is Khan(2010),7.6
159.      Pranchiyettan and the Saint(2010),7.6
160.      Take Off(2017),7.6
161.      Kal Ho Naa Ho(2003),7.6
162.      Baishe Srabon(2011),7.6
163.      Arjun Reddy(2017),7.6
164.      Jab We Met(2007),7.6
165.      Manjhi: The Mountain Man(2015),7.6
166.      Dil Bechara(2020),7.6
167.      Super 30(2019),7.6
168.      Mukkabaaz(2017),7.6
169.      Ayyappanum Koshiyum(2020),7.6
170.      RRR (Rise Roar Revolt)(2022),7.6
171.      Border(1997),7.6
172.      Deiva Thirumagal(2011),7.6
173.      Ship of Theseus(2012),7.6
174.      Karnan(2021),7.6
175.      Jalsaghar(1958),7.6
176.      Padman(2018),7.6
177.      Vedam(2010),7.6
178.      Charlie(2015),7.6
179.      Salaam Bombay!(1988),7.6
180.      Ḅhubali: The Beginning(2015),7.6
181.      Ankhon Dekhi(2013),7.6
182.      Baby(2015),7.6
183.      Pizza(2012),7.6
184.      Vinnaithaandi Varuvaayaa(2010),7.6
185.      Malik(2021),7.6
186.      English Vinglish(2012),7.6
187.      M.S. Dhoni: The Untold Story(2016),7.6
188.      Hindi Medium(2017),7.6
189.      Lakshya(2004),7.6
190.      Airlift(2016),7.6
191.      Dor(2006),7.6
192.      Kirik Party(2016),7.6
193.      Memories(2013),7.6
194.      Johnny Gaddaar(2007),7.6
195.      Joseph(2018),7.6
196.      Kaakha..Kaakha: The Police(2003),7.6
197.      Hey Ram(2000),7.6
198.      Gangaajal(2003),7.6
199.      The Tashkent Files(2019),7.6
200.      Vettaiyaadu Vilaiyaadu(2006),7.6
201.      Anjaam Pathiraa(2020),7.6
202.      Mumbai Police(2013),7.6
203.      Hridayam(2022),7.6
204.      The Lunchbox(2013),7.6
205.      Ab Tak Chhappan(2004),7.6
206.      Major(2022),7.6
207.      Okkadu(2003),7.6
208.      Unnaipol Oruvan(2009),7.6
209.      Secret Superstar(2017),7.6
210.      Angamaly Diaries(2017),7.6
211.      Pokiri(2006),7.6
212.      Thuppakki(2012),7.6
213.      Manam(2014),7.6
214.      Oopiri(2016),7.6
215.      Vicky Donor(2012),7.6
216.      Mother India(1957),7.6
217.      Ghilli(2004),7.6
218.      Veer-Zaara(2004),7.6
219.      Stanley Ka Dabba(2011),7.6
220.      RangiTaranga(2015),7.6
221.      Rock On!!(2008),7.6
222.      Udta Punjab(2016),7.6
223.      Mimi(2021),7.6
224.      Kaththi(2014),7.6
225.      Mr. India(1987),7.6
226.      Nayak: The Real Hero(2001),7.6
227.      Badla(2019),7.6
228.      Minnal Murali(2021),7.6
229.      Raazi(2018),7.6
230.      Happy Days(2007),7.6
231.      Dia(2020),7.6
232.      Sonchiriya(2019),7.6
233.      Dasvidaniya(2008),7.6
234.      Thulladha Manamum Thullum(1999),7.6
235.      Kai po che!(2013),7.6
236.      Poove Unakkaga(1996),7.6
237.      Aayirathil Oruvan(2010),7.6
238.      Joji(2021),7.6
239.      Goodachari(2018),7.6
240.      Ko(2011),7.6
241.      Don(1978),7.6
242.      Aligarh(2015),7.6
243.      Guru(2007),7.6
244.      Ennu Ninte Moideen(2015),7.6
245.      Kapoor & Sons(2016),7.6
246.      Colour Photo(2020),7.6
247.      24(2016),7.6
248.      Velaiilla Pattadhari(2014),7.6
249.      Rockstar(2011),7.6
250.      Oye Lucky! Lucky Oye!(2008),7.6
